GL class,Ledger Type,Ledger Name,Ledger Code,Ledger Description,Ledger Currency,Branch,Related Parent Ledger,Mapped Product Code,Mapped Product Name
Asset,Parent,BEST AUDit,ASTYET,Test,NGN,HQ,,,
Asset,Parent,AuditLog Parent,ASTVAZ,Test log,NGN,HQ,,,
Asset,Parent,Independent 006,AST1HH,Testing Description06,AUS,S012,,,
Asset,Parent,Independent 002,AST1QQ,Testing Description02,AUS,S012,,,
Asset,Parent,Independent 003,AST1WW,Testing Description03,AUS,S012,,,
Asset,Parent,Independent 007,AST1JJ,Testing Description07,AUS,S012,,,
Asset,Parent,Independent 001,AST1PP,Testing Description01,AUS,S012,,,
Asset,Parent,Independent 010,AST1MM,Testing Description10,AUS,S012,,,
Asset,Parent,Independent 013,AST1GG,Testing Description13,AUS,S012,,,
Asset,Parent,Independent 016,AST1XX,Testing Description16,AUS,S012,,,
Asset,Parent,Independent 017,AST1ZZ,Testing Description17,AUS,S012,,,
Asset,Parent,Independent 015,AST1CC,Testing Description15,AUS,S012,,,
Asset,Parent,Independent 018,AST1DD,Testing Description18,AUS,S012,,,
Asset,Parent,Independent 019,AST1FF,Testing Description19,AUS,S012,,,
Asset,Parent,Independent 021,AST111,Testing Description21,AUS,S012,,,
Asset,Parent,Independent 023,ASTQQQ,Testing Description23,AUS,S012,,,
Asset,Parent,Independent 024,ASTQWQ,Testing Description24,AUS,S012,,,
Asset,Parent,Asset -Grantuities J,ASTJJN,Desc,NGN,HQ,,,
Asset,Parent,Asset ROI,ASTBHL,Desc,NGN,HQ,,,
Asset,Parent,Asset GDE,ASTBPL,Desc,NGN,HQ,,,
Asset,Parent,Asset RQP,ASTDWQ,Desc,NGN,HQ,,,
Asset,Parent,Asser MYO,ASTMYO,Desc,NGN,HQ,,,
Asset,Parent,Asset GTF,ASTGTF,Desc,NGN,HQ,,,
Asset,Parent,Asset BTC,ASTBTC,Desc,NGN,HQ,,,
Asset,Parent,Asset Parent,ASTGRM,desc,NGN,HQ,,,
Asset,Parent,House Ledger,ASTUHU,House Ledger,NGN,Y008,,,
Asset,Parent,Asset YTR,ASTAQO,SQP,NGN,HQ,,,
Asset,Parent,Asset RFD,ASTFAP,Desc,NGN,HQ,,,
Liability,Parent,Liability_ABC-1,LIABGH,Desc,NGN,HQ,LIAMNU,,
Asset,Parent,Asset FDR,ASTFSB,Desc,NGN,HQ,,,
Equity,Parent,Equity Grantuities H,EQUBHF,Desc,NGN,HQ,,,
Asset,Parent,Asset SDET,ASTDDW,Descr,NGN,HQ,,,
Asset,Parent,Asset FIRS,ASTFIR,Desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities I,ASTKDJ,Desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities K,ASTJGS,Dese,NGN,HQ,,,
Asset,Parent,Asset -Grantuities H,ASTBRE,Desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities G,ASTBGF,Desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities F,ASTGWF,desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities E,ASTGEW,Desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities D,ASTXGR,Desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities C,ASTCDH,Desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities B,ASTDMX,desc,NGN,HQ,,,
Asset,Parent,Asset -Grantuities A,ASTVFD,Desc,NGN,HQ,,,
Asset,Parent,Asset-Grantuities,ASTASG,Desc,NGN,HQ,,,
Asset,Parent,Asset rent ledger- 300,ASTCFH,Description,NCN,HQ,,,
Asset,Parent,Testing Parent03,AST1W1,Testing Description03,LPP,S012,,,
Asset,Parent,Testing Parent02,AST1Q1,Testing Description02,LPP,S012,,,
Asset,Parent,Testing Parent01,AST1P1,Testing Description01,LPP,S012,,,
Asset,Parent,Testing Parent05,AST1R1,Testing Description05,LPP,S012,,,
Asset,Parent,Loan Ledgers,ASTLL1,Test,NGN,Y008,,,
Asset,Parent,Limited Parent,ASTLPI,Limited Parent,NGN,HQ,,,
Asset,Parent,Trent ledger-trent,AST19G,trent ledger,NGN,HQ,,,
Equity,Parent,Equity Drop Account 2,EQUXEW,DEsc- Equity Drop Account 2,NGN,HQ,,,
Asset,Parent,New asset ledger gtbaa-trent,ASTVAA,Desc-Trent,SRD,T002,,,
Asset,Parent,Testing Parent06,AST1H1,Testing Description06,LPP,S012,,,
Revenue,Parent,Final Expenditure SWQ,REVSWQ,Desc,NGN,HQ,,,
Expense,Parent,interest parent,EXPEX5,interest,NGN,T002,,,
Equity,Parent,Divident Cash QTY,EQUVFR,Desc,NGN,HQ,,,
Liability,Parent,TREASURY BILL - AMORTISED - TEST CORRECTED 05,LIA500,This is a parent under a parent Amortized Cost Liability,LGN,S012,,,
Expense,Parent,Minefield,EXPMFL,Minefields,NGN,HQ,EXPEX5,,
Expense,Parent,E=Ledger,EXPBB1,E=Ledger,NGN,HQ,,,
Expense,Parent,Huge1578,EXPH92,This is a parent under a parent Vault Cash 1578,TBT,S012,,,
Expense,Parent,Testing Parent22,EXP1O1,Testing Description22,LPP,S012,,,
Equity,Parent,Testing Parent13,EQU1G1,Testing Description13,LPP,S012,,,
Equity,Parent,Testing Parent16,EQU1X1,Testing Description16,LPP,S012,,,
Equity,Parent,Testing Parent12,EQU1B1,Testing Description12,LPP,S012,,,
Equity,Parent,Testing Parent10,EQU1M1,Testing Description10,LPP,S012,,,
Expense,Parent,Testing Parent20,EXP1U1,Testing Description20,LPP,S012,,,
Expense,Parent,Testing Parent21,EXP1I1,Testing Description21,LPP,S012,,,
Asset,Parent,Testing Parent04,AST1Y1,Testing Description04,LPP,S012,,,
Asset,Parent,Testing Parent07,AST1J1,Testing Description07,LPP,S012,,,
Expense,Parent,Testing Parent24,EXP12L,Testing Description24,LPP,S012,,,
Expense,Parent,Testing Parent18,EXP1D1,Testing Description18,LPP,S012,,,
Asset,Parent,Testing Parent09,AST1L1,Testing Description09,LPP,S012,,,
Expense,Parent,Testing Parent23,EXP12O,Testing Description23,LPP,S012,,,
Equity,Parent,Testing Parent17,EQU1Z1,Testing Description17,LPP,S012,,,
Equity,Parent,Testing Parent14,EQU1F1,Testing Description14,LPP,S012,,,
Equity,Parent,Testing Parent11,EQU1N1,Testing Description11,LPP,S012,,,
Equity,Parent,Testing Parent15,EQU1C1,Testing Description15,LPP,S012,,,
Expense,Parent,Expense Parent  209,EXPFXF,Desc,NGN,HQ,,,
Revenue,Parent,Sample Parent Revenue - 066,REVUCY,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 065,REVEGB,This is a parent under a parent Vault Cash,LPP,S012,,,
